,XLB,XLE,XLC,XLF,USDOLLAR
2002-01-24 19:00:00,0.0,0.0,0.0,0.9999920273410685,7.972658931464428e-06
2002-01-27 19:00:00,0.0,0.0,0.0,0.9999920769018763,7.923098123725915e-06
2002-01-28 19:00:00,0.0,0.0,0.0,0.9999919945967718,8.00540322823119e-06
2002-01-29 19:00:00,0.0,0.0,0.0,0.9999916286764845,8.371323515501126e-06
2002-01-30 19:00:00,0.0,0.0,0.0,0.9999917321213904,8.26787860961403e-06
2002-01-31 19:00:00,0.0,0.0,0.0,0.9999918675697562,8.132430243748873e-06
2002-02-03 19:00:00,0.0,0.0,0.0,0.9999917649222094,8.235077790468216e-06
2002-02-04 19:00:00,0.0,0.0,0.0,0.9999914541309425,8.545869057449953e-06
2002-02-05 19:00:00,0.0,0.0,0.0,0.999991452774467,8.547225533007729e-06
2002-02-06 19:00:00,0.0,0.0,0.0,0.9999913287971028,8.671202897243293e-06
2002-02-07 19:00:00,0.0,0.0,0.0,0.9999914084033883,8.59159661176167e-06
2002-02-10 19:00:00,0.0,0.0,0.0,0.9999916279818936,8.372018106402474e-06
2002-02-11 19:00:00,0.0,0.0,0.0,0.9999916988949059,8.301105093996708e-06
2002-02-12 19:00:00,0.0,0.0,0.0,0.999991602073995,8.397926005007143e-06
2002-02-13 19:00:00,0.0,0.0,0.0,0.9999917672849878,8.232715012063876e-06
2002-02-14 19:00:00,0.0,0.0,0.0,0.9999917499411733,8.250058826732952e-06
2002-02-18 19:00:00,0.0,0.0,0.0,0.9999916180207151,8.381979284882489e-06
2002-02-19 19:00:00,0.0,0.0,0.0,0.9999913813590748,8.618640925150874e-06
2002-02-20 19:00:00,0.0,0.0,0.0,0.9999915383444683,8.461655531739472e-06
2002-02-21 19:00:00,0.0,0.0,0.0,0.9999914378390178,8.56216098211782e-06
2002-02-24 19:00:00,0.0,0.0,0.0,0.999991384264587,8.615735412991451e-06
2002-02-25 19:00:00,0.0,0.0,0.0,0.9999915980701909,8.401929809179227e-06
2002-02-26 19:00:00,0.0,0.0,0.0,0.9999915900694388,8.409930561187118e-06
2002-02-27 19:00:00,0.0,0.0,0.0,0.9999916745935594,8.325406440555896e-06
2002-02-28 19:00:00,0.0,0.0,0.0,0.9999916993417568,8.300658243181543e-06
2002-03-03 19:00:00,0.0,0.0,0.0,0.9999918102192739,8.189780726127772e-06
2002-03-04 19:00:00,0.0,0.0,0.0,0.9999920780760121,7.921923987859108e-06
2002-03-05 19:00:00,0.0,0.0,0.0,0.9999920827296314,7.917270368695586e-06
2002-03-06 19:00:00,0.0,0.0,0.0,0.9999922122368412,7.787763158808016e-06
2002-03-07 19:00:00,0.0,0.0,0.0,0.9999921417924632,7.858207536833618e-06
2002-03-10 19:00:00,0.0,0.0,0.0,0.999992175311896,7.824688103984464e-06
2002-03-11 19:00:00,0.0,0.0,0.0,0.9999922199473611,7.780052638913041e-06
2002-03-12 19:00:00,0.0,0.0,0.0,0.9999922215640237,7.778435976299086e-06
2002-03-13 19:00:00,0.0,0.0,0.0,0.9999921484299805,7.851570019478413e-06
2002-03-14 19:00:00,0.0,0.0,0.0,0.9999921674510863,7.832548913602235e-06
2002-03-17 19:00:00,0.0,0.0,0.0,0.9999923279907664,7.672009233596991e-06
2002-03-18 19:00:00,0.0,0.0,0.0,0.99999231005821,7.689941789978793e-06
2002-03-19 19:00:00,0.0,0.0,0.0,0.9999923060429607,7.693957039227387e-06
